Question_number,Bird_1,Bird_2,Spec_1,Spec_2,Comparison_type,Duplicate_pair,Thereses-w/outLast3GFPfulltestTEST,Maaya Ikeda,Francisco,Massimo,Todd,Mgaldamez,Andrea Guerrero,Harshida,Jen,Devin Merullo,Dan,Lei Xiao
79,B308,Y433,B308_3,Y433_3,tut_post_GFP_v_tut,0,6,6,7,6,7,4,4,6,6,7,5,1
80,B308,Y433,B308_4,Y433_4,tut_post_GFP_v_tut,0,5,6,9,5,7,6,5,4,3,6,6,6
81,B308,R469,B308_1,R469_1,tut_post_GFP_v_tut,0,7,6,9,7,8,6,7,7,8,4,3,6
82,B308,R469,B308_2,R469_2,tut_post_GFP_v_tut,0,7,7,9,8,8,4,9,8,2,7,3,7
83,B308,R469,B308_3,R469_3,tut_post_GFP_v_tut,0,6,6,8,8,7,2,7,6,7,2,5,6
84,B308,R469,B308_4,R469_4,tut_post_GFP_v_tut,0,8,7,9,7,7,5,4,7,6,3,4,8
85,S409,B507,S409_1,B507_1,tut_post_GFP_v_tut,0,0,2,8,1,1,1,3,1,3,1,0,0
86,S409,B507,S409_2,B507_2,tut_post_GFP_v_tut,0,0,1,1,5,2,1,1,0,0,1,0,1
87,S409,B507,S409_3,B507_3,tut_post_GFP_v_tut,0,2,1,1,1,0,3,0,0,0,1,0,0
88,S409,B507,S409_4,B507_4,tut_post_GFP_v_tut,0,1,0,2,1,1,0,1,1,0,4,0,1
89,S409,O512,S409_1,O512_1,tut_post_GFP_v_tut,0,0,2,1,2,1,1,0,0,0,0,0,5
90,S409,O512,S409_2,O512_2,tut_post_GFP_v_tut,0,1,4,1,3,0,4,2,4,1,1,0,1
91,S409,O512,S409_3,O512_3,tut_post_GFP_v_tut,0,0,3,7,1,3,1,1,6,2,1,0,1
92,S409,O512,S409_4,O512_4,tut_post_GFP_v_tut,0,1,3,2,3,2,4,2,6,0,1,2,0
93,S409,B524,S409_1,B524_1,tut_post_GFP_v_tut,0,7,7,9,8,7,3,4,7,7,7,7,7
94,S409,B524,S409_2,B524_2,tut_post_GFP_v_tut,0,7,7,9,6,8,8,5,1,5,6,1,2
95,S409,B524,S409_3,B524_3,tut_post_GFP_v_tut,0,6,7,9,6,8,7,2,7,7,7,6,3
96,S409,B524,S409_4,B524_4,tut_post_GFP_v_tut,6,8,7,9,6,7,2,6,3,8,2,5,7
97,S409,G524,S409_1,G524_1,tut_post_GFP_v_tut,0,9,6,6,8,3,7,4,6,7,8,5,9
98,S409,G524,S409_2,G524_2,tut_post_GFP_v_tut,0,7,6,6,8,3,4,2,0,2,4,7,4
99,S409,G524,S409_3,G524_3,tut_post_GFP_v_tut,0,6,7,9,6,7,2,0,5,2,4,4,0
100,S409,G524,S409_4,G524_4,tut_post_GFP_v_tut,0,7,7,9,6,4,2,4,7,1,3,5,3
101,B308,B308,B308_1,B308_2,tut_v_itself,0,10,10,10,9,10,7,9,9,10,9,10,7
102,B308,B308,B308_3,B308_4,tut_v_itself,0,10,9,10,9,10,9,9,9,9,9,9,9
103,B103,B103,B103_1,B103_2,tut_v_itself,0,10,9,10,10,10,8,9,10,10,9,10,10
104,B103,B103,B103_3,B103_4,tut_v_itself,0,9,7,9,9,9,8,7,6,9,2,8,7
105,G311,G311,G311_1,G311_2,tut_v_itself,0,10,10,10,10,10,9,10,10,9,9,10,10
106,G311,G311,G311_3,G311_4,tut_v_itself,0,8,8,10,8,9,4,7,9,9,7,6,7
107,O314,O314,O314_1,O314_2,tut_v_itself,0,10,10,10,10,9,7,7,10,9,9,9,8
108,O314,O314,O314_3,O314_4,tut_v_itself,0,10,10,10,10,10,8,10,10,10,9,10,10
109,B308,S525,B308_1,S525_1,tut_post_GFP_v_tut,0,0,5,7,4,4,2,1,2,1,4,4,0
110,B308,S525,B308_2,S525_2,tut_post_GFP_v_tut,0,NA,6,7,5,6,4,3,2,1,3,3,2
111,B308,S525,B308_3,S525_3,tut_post_GFP_v_tut,0,NA,5,5,3,2,2,1,1,2,2,0,3
112,B308,S525,B308_4,S525_4,tut_post_GFP_v_tut,0,NA,4,6,3,3,1,1,2,1,1,1,6
113,B416,G528,B308_1,G528_1,tut_post_GFP_v_tut,0,NA,7,8,5,1,6,7,7,7,1,5,1
114,B416,G528,B308_2,G528_2,tut_post_GFP_v_tut,0,NA,7,8,7,1,8,1,3,8,6,4,1
115,B416,G528,B308_3,G528_3,tut_post_GFP_v_tut,0,NA,7,9,7,6,6,6,5,7,6,6,7
116,B416,G528,B308_4,G528_4,tut_post_GFP_v_tut,0,NA,7,7,7,6,4,3,6,5,6,3,7
117,B416,S528,B416_1,S528_1,tut_post_GFP_v_tut,0,NA,5,7,5,6,2,3,6,6,8,4,7
118,B416,S528,B416_2,S528_2,tut_post_GFP_v_tut,0,NA,5,8,8,7,6,7,6,7,6,3,7
119,B416,S528,B416_3,S528_3,tut_post_GFP_v_tut,0,NA,6,7,7,4,4,6,4,7,7,5,6
120,B416,S528,B416_4,S528_4,tut_post_GFP_v_tut,0,NA,7,9,5,6,7,7,6,6,8,6,6
121,G311,G397,G311_1,G397_1,duplicate,1,NA,1,1,1,0,1,1,1,2,1,0,0
122,B308,B402,B308_1,B402_1,duplicate,2,NA,0,9,6,5,2,0,3,1,6,1,6
123,O210,G437,O210_2,G437_2,duplicate,3,NA,8,9,6,8,6,6,7,7,7,8,7
124,B103,O440,B108_2,O440_2,duplicate,4,NA,10,10,10,9,7,8,9,8,9,10,10
125,B308,O434,B308_2,O434_2,duplicate,5,NA,4,9,6,9,5,3,5,1,1,4,6
126,S409,B524,S409_4,B524_4,duplicate,6,NA,8,9,6,7,3,1,6,8,2,4,5
